comment_id,Comment
770,He successfully designed eye catching interfaces using bootstrap and CSS
771,"I am impressed with Godfrey's desire of learning how to code systems from scratch. If he can continue brushing up his coding skills,  he will be a greater developer."
772,She has the interest in making sure things workout and with more practice will become better
780,"The student was able to demonstrate transfer and replacement of computer/laptop components, such as key board, replacement of CMOS battery, replacement of laptop motherboard. He was also charged with recording computing devices in the IT store and updating the information in the inventory. 
The work was well done."
787,"This week, Joseph learned and implemented USSD and SMS using Object-Oriented PHP and MySQL, He also learned how to deploy PHP applications and a live server, He now knows how to install libraries using composer (A command-line application used to install external libraries into a PHP application). He has known how to prepare the application procedure before starting to code."
788,He was new to security but he did well on the assignment and has interacted well with the cpanel.
793,Assignments well done. Good enthusiasm too
796,Nice piece of work done.
797,Beautiful website made. More practice and research
800,She did not do this at our company
802,All tasks have been completed in time as instructed
803,"Being that she is a person who pays attention to details, mastering Graphics design was a lot easier than I expected. She  has great knowledge about industrial dominating tools such as Adobe Illustrator, that is highly used world wide for Designs. I therefore recommend the University to add more emphasis to practical fields such as Graphics and design, so as to prepare the students for any job challenge in the real world."
805,"He completed the task, meant the acceptance criteria, and completed it within a minimal time frame."
811,Good attempt and attitude amidst challenges.
817,"Maintains good working relationships with coworkers.
Has a good attendance record.
Error rate is acceptable, and all work is completed timely."
821,He added the functionality and its functioning well.
822,"Faith's progress has once again been impressive. She thinks out of the box and is willing to learn, which will take her very far in the field of software engineering. There is still a lot for her to learn but I believe she possesses the right qualities to keep improving."
823,Faith has displayed knowledge in the various steps involved during the Software Development Life Cycle. She is keen on reaching the implementation step but she is well aware of what is involved in the design stage with provides a smooth transition towards implementation.
842,This was a very productive week. A lot of progress was made by Benjamin and team.
843,This week was productive. Benjamin and team executed well.
844,Tasks and assignments well completed. Good interaction during lessons
846,All task were completed
869,She had good knowledge about the foundation of the web especially from the University. So Introducing her to the practice of Website development and design was easier. I recommend continued practice in this area.
870,She is eager to learn new technologies. This can be seen by how much questions she asks during the training sessions.
877,"The Internee was given an exercise of adding a splash screen, a progress bar, and a recycler view  using Java language in android studio.
The purpose of this was to help the internee to express advancement in his software development environment.
This was done successfully.
However, he has also to do more in adding top nav bar and creating a dashboard"
893,Well completed
894,Excellent
898,"He was able to complete and demo all the tasks assigned, excellent performance for DevOps."
905,"It was a good and quick activity, because most of the things like creating databases on live server, and uploading sources were being done by him."
913,She did not do this at our company
964,Student has kicked off the bootcamp stage and started gaining further capacity in the various concepts of software engineering that will enable him gain  capacity to deliver a software product.
966,Student has demonstrated some a foundation and background knowledge in database design and implementation and there is great room for improvement.
968,Student has finalised learning of database design. Great team work demonstrated. He is new to the S.O.L.I.D and needs to learn these very fast.
970,Deployment learnt and other tasks accomplished on time. Students needs to adopt to fast pace learning.
971,Student is exposed to new concepts in TDD and Design Patterns and needs to learn and practice these early enough. Pull up your socks
972,Applied and demonstrated how to build and run tests. Individual project on TDD delivered.
973,Student has gained some knowledge in BDD but slow at implementation. Great work for improvement.
974,Demonstrated ability to implement CI/CD in a real project. Great work this week.
975,Student has prior knowledge in code refactoring and some insights in debugging and code smells. Great foundation by university.
976,Student introduced to Team at Laboremus and he has began on interaction with client to establish requirements. Team work with new team assigned needs improvement.
977,Vision and scope document presented and student has to do some improvements based on client input. Requirements elicitation techniques.
978,"Vision and scope delivered student has started on the SRS, his documentation skills are improving"
979,Great research work demonstrated in trying to produce the SDD. Version 1 delivered on time with his team
980,"ERD and its related documentation delivered, clients with so many changes so final version yet to be approved. Great team leadership by student in sharing knowledge with his team members."
981,Student together with team has delivered and mockup designs for the system.
982,Task of project planning and role assignment done. Student has assumed the role of front end development
983,"Project initiation and tools done on time, break off for holidays."
984,Festive season. Nothing evaluated
985,Front end mock up for users that implemented as required by the student. Need to make better improvements on it.
986,"Some time taken for student to adjust to the back-end and gain capacity and implement his news tasks
Internet shut down has affected the pace of the student that of the team."
987,"Feature 2 of system not fully done and some other pending tasks. Student needs to gain faster pace.
Internet shut down has further affected the pace of the student that of the team."
988,Project behind timeline but student has ability to accomplish the tasks. Internet is back and student has picked up pace once again.
989,Project timeline on track. Great team work. Student is now doing code review and improvements.
990,"With initial testing, some bugs detected and  student has demonstrated the ability to read errors and bugs plus the ability to debug  them"
991,Project still on going in the last phases but most of the tasks accomplished and ready for final presentation
992,Good conduct and time keeping.
993,Ms. Angella's attentiveness and desire to learn what she is not familiar with is very admirable. Thank you for this drive. Software installations can be done independently which is very good to see.
994,MS. Angella's willingness to learn and drive to seek clarity ranks her as a super learner. Well done Angella.
1006,"He completed the task, meant the acceptance criteria, and completed it within a minimal time frame."
1042,"Using android Studio
The trainee was tasked with the continuation of the last week's pending work including adding top nav bar, creating a dashboard and filtering a recycler view, using Java language in android studio.

In web development, using HTML
The trainee was given an exercise of adding a favicon to a website in HTML.
The purpose of this was to help the trainee to learn more concerning web development.

It was a good experience seeing him exercise a good progress while learning."
1057,"Work well done, good attitude amidst challenges."
1058,"Tasks well completed, nice website done."
1059,Looking forward to the final report
1060,Looking forward to receiving the final report
1082,The UI he made was responsive and beautiful
1083,He faced challenges with the IDE but with my helping hand he accomplished the task.
1084,She is a quick learner and a person who pays attention to details. I encourage her to take on more practices in Web programming in order to master it and meet the market standard.
1085,"She was able to design her first website using the technologies learned. Given the small time period since the time the internship started, i say it was impressive. She however she needs to improve on her project management skills especially time."
1091,He could be relied on for completing his tasks on time.
1092,He tried his best to meet attendance despite the challenge of slow internet
1093,He took the initiative to consult where he needed assistance
1094,He scheduled his time off in advance to coordinate with the backend developer which was impressive
1095,He consulted for better understanding which helped his progress.
1096,"Despite the time it required him to get tasks done, he gave in time and extra effort to see to it that things got done."
1097,He had the will to wait until he got in the right corner with the requirements for the good of his performance.
1103,"He completed the task, meant the acceptance criteria, and completed it within a minimal time frame."
1107,He followed his schedule and adhered to designated breaks for him as advised
1108,"We worked together to pull resources and the necessary data together, which helped the taking up of his tasks."
1109,"As was the usual, he communicated openly with his team and asked for assistance where necessary"
1110,He took the initiative to ask for assistance
1111,He took the time to listen as we reviewed his performance
1112,I noted that he was embracing the culture of knowledge sharing in his research which in itself answered some of his questions.
1113,He was building good relationships with the team
1114,He effectively communicates
1115,He has a willingness to listen which helps his learning
1116,He's a great team player
1117,He supports others in integrating and fulfilling their tasks
1118,He did his very best to get tasks done
1119,He gave the team members an opportunity to teach him and he was a good learner
1120,He can be relied upon by the team mates
1121,He works to be the best for the team
1122,He delivers urgently when he has all necessary resources which eases our work and betters his learning
1123,He expertly prioritizes work
1124,He exceeded my expectations by delivering more than the assigned work
1125,He makes the best use of his time
1126,He expertly prioritizes his work without getting tangled in unnecessary detail
1163,She need to invest more time experimenting with what she has learnt and not stick to only what has been taught or discussed during the internship sessions. Her overall progress is promising.
1174,He is always willing to learn new skills and demonstrate them practically
1175,This was the first activity during the networking session. He did great in the surveying exercise as well as diagramming and quantifying the bills needed for the Network Project.
1176,Very active and practical student and paid clear attention during the demonstration of the Wireless Security Administration before availing him the devices
1177,"He managed to configure the Networking Devices first in the Cisco Packet Tracer and later shifted to Live Machine configurations using the Putty software, Console Cable. The configurations involved VLAN, VLAN Trunking, Inter-VLAN Routing, Switch port Security, as well as EIGRP and ACL. I do believe he demonstrate the configuration of protocols very well."
1178,He designed a multi page WordPress site and customized it to match the assigned design and requirements
1179,He managed to design a website using CMS (WordPress) and later hosting it using 60 days free Trial hosting service provided by SmarterASP.net . I do believe he do thorough Domain registration and Web hosting
1180,"He demonstrated good  knowledge and understanding of the Motherboard components, troubleshooting Motherboard problems."
1181,This was a public holiday and the office was not yet open to official duties
1182,Muwanga Ian was very active during this session of Operating Systems. He managed to Install Windows 10 Enterprise and Windows 8  Professional as well the Device drivers.
1183,This activity involved introductory usage of the OS environment and preparing for installation which included making bootable devices that is DVD and Flash disks
1185,She needs to learn to manage her time properly so she can deliver on assignments.
1189,She continues to prove herself by never failing to deliver on assignments.
1196,he was a quick understanding student in my class
1204,"She works well with her fellow interns, asks where she does not understand is always ready to help out others."
1205,Ms Angella's work attitude is excellent. Given her willingness to learn she handled most of the tasks deligently.
1206,Well done Ms Angella. Tasks were done independently and where guidance was required she sought it.
1215,he was a good listening student
1216,She needs to learn more quickly as the scope of the internship is a bit wide and we are still covering the basics.
1217,Dashboard reporting system was not completed.
1218,Social media platforms were disabled successfully.
1219,Staff remote access was not successful though she tried it out.
1220,She was really stressed at this stage. But i kept advising her to learn how to manage stress.
1221,Remote access of the Server by the recommended ICT staff was not successful but the accounts were created. she tried to orient us but things were not thorough.
1222,"Dust blowing of the machines was done but System updates and Anti virus installation was fairly done.
she had the skills but the speed of the internet limited her."
1223,"Social media platforms were created. 
Creating IP addresses for the Server and passwords challenged her."
1224,She really laboured much to see Ncomputing System work.
1225,Making research on each task to trouble consumes most of her time.
1226,Though research was done the School management App was not created.
1227,She used to consult her friends but no User Interfaces were designed.
1233,She has an overall improvement from when we first began. She is a promising student given the fact that she works on her weaknesses.
1238,"Does not require constant supervision.
Has had no unscheduled absences, except for documented emergencies.
Maintains good working relationships with coworkers.
Usually adjusts well to changes in the work place.
Takes messages, writes correspondence, deals with customers and coworkers with sufficient attention to detail."
1239,Progressive
1242,"Had Laptop challenge ,but attended all the sessions and kept time."
1243,many technical challenges but he was able to understand the skills offered.
1244,Progressive
1245,Progressive
1246,Sills were acquired but had computer challenge
1247,"Had many technical Issues  with his laptop,but was positive and progressed in understanding the skills."
1248,Progressive but had technical issues with his  computer
1249,Progressive
1251,Progressive
1252,"He had Technical challenges of the computer, but he was able to progress in understanding the tasks at hand."
1253,"This week we multitasked and Mary was able to catch up, with the new skillsets."
1254,Progressive
1255,The week was challenging to the student since he had many issues with his computer .
1256,Georgia and her colleagues did a good presentation. It showed their desire to explore new technologies
1257,Mark and his colleagues did a good presentation. It showed their desire to explore new technologies
1258,"Does not require constant supervision.
Has had no unscheduled absences, except for documented emergencies.
Maintains good working relationships with coworkers.
Usually adjusts well to changes in the work place.
Takes messages, writes correspondence, deals with customers and coworkers with sufficient attention to detail."
1259,Progressive in Hardware maintenance and repair tasks.
1260,Progressive
1262,"Challenged by use of the new skillset in css using Dreamweaver yet also her computer specifications couldn't enable her make installation of the Adobe suite.
but the skills were acquired ."
1263,Was able to multi task since we had three sessions in the say week handling different areas.
1264,Progressive
1265,Progressive in the tasks at hand.
1266,Had a laptop challange but that didnt hinder us from starting database development since he had a team to work with.
1267,Technically challenged but followed up through the recorded material.
1269,"Progressive skills wise ,although was still challenged by the Laptop.
He was new to website designing  and content management systems design."
1270,"Progressive ,as skills were acquired but practice was on colleague's computer"
1271,Progressive
1272,Reduced pace due to laptop.
1274,Still had a challenge with the Computer.
1275,Challenged with the Laptop she uses.
1276,Progressive  technically irrespective of the transport challenge.
1278,"Lubega  is progressing well in the internship, and learning about Tableau, while creating visualizations  to support business."
1279,"Bazaale was able to configure a LAMP stack on his server, we created a DNS zone and resolved it to his remote ubuntu server. He was also able to install an SSL certificate with Let's encrypt as well as secure his php-mysql server with a password. he successfully installed PHPmyadmin on his ubuntu server as well."
1280,Progressive -according to the student knowledge uptake and practical skills execution.
